commune,monitoring_id,name,area_km2,cafes,bars,restaurants,schools,childcare,metro,tram,train,parks_km2,cafes_density,bars_density,restaurants_density,schools_density,childcare_density,metro_density,tram_density,train_density,parks_share
City of Brussels,1,Grand Place,0.3864018129326003,38,83,141,2,1,2,1,2,0.009033550386388917,98.34322388810402,214.8023048082272,364.90512021638597,5.1759591520054755,2.5879795760027378,5.1759591520054755,2.5879795760027378,5.1759591520054755,0.023378643898766156
City of Brussels,2,Dansaert,0.5435068276342783,24,58,108,6,0,1,6,1,0.04086929358304145,44.15767894667447,106.71439078779663,198.70955526003513,11.039419736668618,0.0,1.8399032894447696,11.039419736668618,1.8399032894447696,0.07519554770072198
City of Brussels,3,Beguinage - Dixmude,0.37633153014291804,17,14,30,2,2,0,3,0,0.047478160730429333,45.17293566537987,37.201241136195186,79.71694529184683,5.314463019456455,5.314463019456455,0.0,7.971694529184682,0.0,0.12616046471683817
City of Brussels,4,Martyrs,0.37739157470453555,10,11,23,7,0,1,2,1,0.004298203189718766,26.497676870049688,29.147444557054655,60.94465680111428,18.548373809034782,0.0,2.6497676870049687,5.299535374009937,2.6497676870049687,0.011389239924298473
City of Brussels,5,Notre - Dame aux Neiges,0.2919305816150662,13,10,53,4,0,0,2,0,0.05001316354493853,44.531134518621755,34.25471886047828,181.55000996053485,13.70188754419131,0.0,0.0,6.850943772095655,0.0,0.17131868565549904
City of Brussels,6,Quartier Royal,0.7062504647240759,9,11,19,1,0,3,5,3,0.4419458426168198,12.743354446522309,15.575210990193932,26.902637164880428,1.4159282718358122,0.0,4.247784815507436,7.07964135917906,4.247784815507436,0.6257636131814555
City of Brussels,7,Sablon,0.4530291903360945,21,14,43,4,0,1,5,1,0.06257688210044327,46.35462890243444,30.903085934956295,94.9166210859372,8.829453124273227,0.0,2.207363281068307,11.036816405341533,2.207363281068307,0.13812991179225903
City of Brussels,8,Marolles,0.6270624163181614,10,24,25,10,1,3,2,3,0.08720876463689882,15.947375795085382,38.27370190820492,39.86843948771345,15.947375795085382,1.5947375795085381,4.784212738525615,3.1894751590170762,4.784212738525615,0.13907509422897782
City of Brussels,9,Stalingrad,0.2634651927607175,13,17,24,8,1,1,2,1,0.001191728162893993,49.342381298188286,64.52465246686161,91.09362701203992,30.364542337346638,3.7955677921683297,3.7955677921683297,7.5911355843366595,3.7955677921683297,0.004523285032100373
City of Brussels,10,Anneessens,0.4400816068121758,3,2,7,9,0,1,8,1,0.08556447885978943,6.816917484307364,4.54461165620491,15.906140796717184,20.450752452922092,0.0,2.272305828102455,18.17844662481964,2.272305828102455,0.19442866399164882
City of Brussels,18,Quartier Maritime,1.740977560738233,7,9,15,15,2,0,7,0,0.5580944369394845,4.020729593454246,5.169509477298316,8.615849128830527,8.615849128830527,1.1487798838440701,0.0,4.020729593454246,0.0,0.3205638312206814
City of Brussels,19,Vieux Laeken Ouest,0.49939333534424357,2,12,3,6,0,1,2,1,0.35341933659639696,4.004859213071702,24.029155278430213,6.007288819607553,12.014577639215107,0.0,2.002429606535851,4.004859213071702,2.002429606535851,0.7076973431228847
City of Brussels,20,Vieux Laeken Est,1.0399283692088774,5,22,20,11,0,1,8,1,0.32522151729771137,4.808023463965827,21.155303241449637,19.232093855863308,10.577651620724819,0.0,0.9616046927931653,7.692837542345322,0.9616046927931653,0.31273453723079286
City of Brussels,21,Quartier Nord,1.3074953239872737,10,6,22,8,0,4,18,4,0.32320055221231886,7.6482109087048125,4.588926545222887,16.826063999150588,6.11856872696385,0.0,3.059284363481925,13.766779635668662,3.059284363481925,0.24719059891296763
City of Brussels,29,Squares,0.8054117464694075,8,12,37,8,3,0,0,0,0.11269429439878992,9.932807703722595,14.899211555583891,45.939235629717,9.932807703722595,3.7248028888959728,0.0,0.0,0.0,0.13992134444623533
City of Brussels,30,Porte Tervueren,0.9214352834867068,7,6,17,10,1,2,6,2,0.04413861697720391,7.596843886324857,6.511580473992734,18.449478009646082,10.852634123321225,1.0852634123321225,2.170526824664245,6.511580473992734,2.170526824664245,0.04790202607630086
City of Brussels,35,Quartier Europeen,0.9610667507434083,20,13,56,0,0,6,0,6,0.26320881312338873,20.810209056269525,13.52663588657519,58.26858535755466,0.0,0.0,6.243062716880857,0.0,6.243062716880857,0.27387152132751486
City of Brussels,39,Etangs D’ixelles,0.811029777725698,4,2,29,4,0,0,17,0,0.22670672518950033,4.932001401005103,2.4660007005025517,35.757010157287,4.932001401005103,0.0,0.0,20.96100595427169,0.0,0.27952947156297364
City of Brussels,40,Louise - Longue Haie,0.44815191792417264,7,4,13,6,0,0,1,0,0.002398739873673685,15.619703319409648,8.92554475394837,29.008020450332207,13.388317130922557,0.0,0.0,2.2313861884870927,0.0,0.005352515023888734
City of Brussels,42,Chatelain,0.6595413908801065,16,28,64,2,0,0,13,0,0.016450411185581576,24.25928110235697,42.453741929124696,97.03712440942788,3.032410137794621,0.0,0.0,19.710665895665038,0.0,0.024942196825023803
City of Brussels,43,Brugmann - Lepoutre,1.309791868278924,12,5,58,7,1,1,11,1,3.2387470241378704,9.161760956546544,3.81740039856106,44.281844623308295,5.3443605579854845,0.763480079712212,0.763480079712212,8.398280876834333,0.763480079712212,2.4727188361564707
City of Brussels,74,Heysel,2.760512450563145,2,10,12,10,0,2,23,2,1.426770882739588,0.7245031622994491,3.6225158114972453,4.347018973796694,3.6225158114972453,0.0,0.7245031622994491,8.331786366443664,0.7245031622994491,0.516850008210804
